ID,Date,Latitude,Longitude,M
175,19691002,38.47,-122.69,5.6
176,19691002,38.46,-122.69,5.7
177,19691105,34.609,-121.435,5.6
178,19710209,34.411,-118.401,6.6
179,19710209,34.411,-118.401,5.8
180,19710209,34.411,-118.401,5.8
181,19730221,34.099,-119.039,5.9
182,19750801,39.44,-121.53,6.1
183,19761126,41.29,-125.71,6.8
184,19780813,34.397,-119.682,6
185,19781004,37.5295,-118.6608,5.8
186,19790806,37.1035,-121.5118,5.7
187,19791015,32.6137,-115.3182,6.5
188,19791016,33.0137,-115.5552,5.5
189,19800124,37.83,-121.7715,5.8
190,19800225,33.501,-116.5132,5.5
191,19800525,37.6275,-118.9273,6
192,19800525,37.625,-118.8592,5.7
193,19800525,37.609,-118.8468,6.2
194,19800525,37.5607,-118.831,5.9
195,19800527,37.5057,-118.8262,5.9
196,19800609,32.217,-114.983,6.4
197,19800907,38.0647,-118.5905,5.5
198,19800907,37.9942,-118.4017,5.7
199,19801108,41.12,-124.67,7.4
200,19810426,33.0985,-115.6317,5.9
201,19810904,33.6515,-119.093,5.9
202,19810930,37.5852,-118.8665,5.7
203,19820924,37.8548,-118.1512,5.5
204,19830107,37.6637,-119.0082,5.6
205,19830107,37.5788,-118.9043,5.6
206,19830502,36.2333,-120.2833,5.6
207,19830502,36.23,-120.3142,6.4
208,19830722,36.2233,-120.395,6
209,19830824,40.38,-124.83,5.6
210,19840424,37.3097,-121.6767,6.2
211,19841123,37.4697,-118.5968,5.8
212,19841123,37.4372,-118.607,5.5
213,19841126,37.4487,-118.6475,5.6
214,19850804,36.117,-120.15,6.2
215,19860126,36.8032,-121.284,5.5
216,19860331,37.479,-121.6847,5.6
217,19860708,33.9992,-116.6085,6
218,19860713,32.97,-117.87,5.8
219,19860721,37.5388,-118.4425,6.4
220,19870731,40.42,-124.41,6
221,19871001,34.067,-118.083,6
222,19871124,33.09,-115.7925,6.2
223,19871124,33.0145,-115.8517,6.6
224,19891018,37.0397,-121.8773,6.9
225,19901024,38.046,-119.157,5.8
226,19910628,34.2615,-117.9995,5.8
227,19910816,41.633,-125.867,6.3
228,19910817,41.71,-125.63,7
229,19910817,40.2872,-124.238,6.2
230,19920423,33.9612,-116.3175,6.2
231,19920425,40.3327,-124.2295,7.2
232,19920426,40.4272,-124.5965,6.6
233,19920426,40.3753,-124.5853,6.6
234,19920628,34.2002,-116.4367,7.3
235,19920628,34.167,-116.8268,6.5
236,19920628,34.1618,-116.8522,5.5
237,19920628,34.1307,-116.4082,5.7
238,19920629,34.1045,-116.4032,5.5
239,19920711,35.21,-118.0657,5.7
240,19930517,37.168,-117.7948,6.2
241,19930921,42.3085,-122,6
242,19930921,42.293,-122.0687,5.5
243,19940117,34.3263,-118.6983,6
244,19940117,34.258,-118.4738,6.2
245,19940117,34.2133,-118.537,6.7
246,19940901,40.4,-125.68,7
247,19940912,38.833,-119.678,6.2
248,19950920,35.7558,-117.6302,5.6
249,19951228,38.721,-119.659,5.5
250,19970122,40.272,-124.394,5.6
251,19981127,40.667,-125.384,5.6
252,19991016,34.6815,-116.2848,5.8
253,19991016,34.6,-116.27,7.1
254,19991016,34.44,-116.25,5.7
